"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","2","Demo","0","2","","0"
"0","","0","Posts","1","0","Response time assessment","0"
"0","","0","Posts","4","0","API posts access","0"
"0","","0","Authentication","1","0","Login page behavior","0"
"0","","0","Authentication","1","0","Basic Auth page behavior","0"
"0","","0","Main","1","0","Main page behavior","0"
"0","","0","Authentication","1","0","API login","0"
"0","","0","Posts","3","0","API posts CRUD","0"
"0","","0","Authentication","1","0","API get current user info by token","0"
